"","StreamName","Method","Richness","TolerantCount","IntolerantCount","DarterCount","SuckerCount","SunfishCount","PiscivoresCount","OmnivoresCount","InsectivoresCount","LithophilicCount"
"1","Bell Branch","Seine",7,6,0,1,1,0,0,5,2,3
"2","Evans Creek","Seine",3,3,0,0,0,0,0,3,0,1
"3","Fowler Creek","Seine",18,9,0,2,1,4,1,7,8,4
"4","Johnson Creek","Seine",4,1,3,1,0,0,0,1,2,2
"5","Lower Rouge","Seine",23,8,2,2,2,5,2,6,13,6
"6","Main Rouge","Seine",21,7,3,2,1,6,2,5,10,4
"7","Middle Rouge","Seine",9,2,3,1,1,3,2,3,4,2
"8","Seeley Creek","Seine",14,7,1,1,1,3,1,6,5,3
"9","Upper Rouge","Seine",15,8,3,3,2,2,0,6,8,6
"10","Bell Branch","Shocking",8,6,0,1,1,1,0,5,3,3
"11","Evans Creek","Shocking",5,5,0,0,1,0,0,5,0,2
"12","Fowler Creek","Shocking",18,10,0,1,1,4,2,8,6,3
"13","Johnson Creek","Shocking",13,6,4,1,1,5,2,5,4,3
"14","Lower Rouge","Shocking",24,9,4,2,2,6,4,7,9,5
"15","Main Rouge","Shocking",21,9,2,2,1,5,3,7,8,4
"16","Middle Rouge","Shocking",17,7,2,1,1,6,4,6,6,2
"17","Seeley Creek","Shocking",11,7,1,1,1,2,0,5,5,3
"18","Upper Rouge","Shocking",17,8,4,2,2,3,0,6,8,5
